Station,URSI,Lat,Lon
Alpena,AL945,45.07,276.44
Ascension Island,AS00Q,-7.95,345.60
Athens,AT138,38.00,23.50
Brisbane,BR52P,-27.06,153.06
Cachoeira Paulista,CAJ2M,-22.70,315.00
Canberra,CB53N,-35.32,149.00
Cocos Island,CS31K,-12.18,96.83
Dourbes,DB049,50.10,4.60
Darwin,DW41K,-12.45,130.95
El Arenosillo,EA036,37.10,353.30
Roquetes,EB040,40.80,0.50
Eglin AFB,EG931,30.50,273.50
Eielson,EI764,64.66,212.93
Fairford,FF051,51.70,358.50
Gakona,GA762,62.38,215.00
Grahamstown,GR13L,-33.30,26.50
Hermanus,HE13N,-34.42,19.22
Hobart,HO54K,-42.92,147.32
I-Cheon,IC437,37.14,127.54
Idaho National Lab,IF843,43.81,247.32
Jeju,JJ433,33.43,126.30
Juliusruh,JR055,54.60,13.40
Lualualei,LL721,21.43,201.85
Learmonth,LM42B,-21.80,114.10
Niue,ND61R,-19.07,190.07
Nicosia,NI135,35.03,33.16
Norfolk,NI63_,-29.03,167.97
PT Arguello,PA836,34.80,239.50
Perth,PE43K,-32.00,116.13
Pruhonice,PQ052,50.00,14.60
Sopron,SO148,47.63,16.72
Tromso,TR169,69.60,19.20
San Vito,VT139,40.60,17.80
Wake,WA619,19.29,166.665